Type_of_Coarse_Aggregate,Type_of_Fine_Aggregate,Max_Size_of_Coarse_Aggregate(mm),Passing_0.6_mm_sieve(%),Target_Mean_Strength(MPa),Cement_O.P.C.(kg/m3),W/C_Ratio,Water_Content(kg/m3),Total_Aggregate(kg/m3),Fine_Aggregate(kg/m3),Coarse_Aggregate(kg/m3),Workability_Slump(mm),Hardened_Concrete_Density_(avg.),7_day_str(MPa),28_day_str(MPa),Admix_1,Admix_2,Dos_1(lit),Dos_2(lit),,
Natural,Natural,40,28,38,340,0.49,165,1895,740,1155,170,2403,28.4,34.2,SI,NA,0.8,0,,
Natural,Natural,20,43.3,38,350,0.53,185,1865,710,1155,140,2405,26.9,34.9,NA,NA,0,0,,
Natural,Natural,20,43.3,38,350,0.53,185,1865,710,1155,140,2405,26.9,0,NA,NA,0,0,,
Natural,Natural,20,52.1,38,350,0.5,175,1865,710,1155,200,2395,30,39.5,CO,NA,0.8,0,,
Natural,Natural,40,0,38,350,0.5,175,1925,770,1155,120,2455,18.3,28.3,SP,NA,1,0,,
Natural,Natural,40,0,38,350,0.5,175,1925,770,1155,120,2454,18.3,0,SP,NA,1,0,,
Natural,Natural,40,34.4,38,350,0.5,175,1855,700,1155,150,2389,24.3,0,NA,NA,0,0,,
Natural,Natural,40,37.6,38,350,0.51,175,1865,710,1155,100,2393,27.8,0,NA,NA,0,0,,
Natural,Natural,40,34.4,38,350,0.5,175,1855,700,1155,150,2390,24.3,33.2,NA,NA,0,0,,
Natural,Natural,40,37.6,38,350,0.51,175,1865,710,1155,100,2396,27.8,35,NA,NA,0,0,,
Natural,Natural,40,37.6,38,350,0.51,175,1865,710,1155,100,2394,27.8,35,NA,NA,0,0,,
Natural,Natural,20,21.4,38,360,0.5,180,1840,685,1155,100,2496,26.5,38.5,NA,NA,0,0,,
Natural,Natural,20,21.4,38,360,0.5,180,1840,685,1155,100,2390,26.5,0,NA,NA,0,0,,
Natural,Natural,40,54,38,365,0.51,185,1830,675,1155,140,2387,24.6,32.4,NA,NA,0,0,,
Natural,Natural,40,54,38,365,0.51,185,1830,675,1155,140,2385,24.6,0,NA,NA,0,0,,
Natural,Natural,40,42.5,42,375,0.48,180,1835,680,1155,140,2393,32.5,0,NA,NA,0,0,,
Crushed,Natural,20,51.8,38,335,0.52,185,1930,770,1160,185,2452,34.1,44.2,SP,NA,0.9,0,,
Crushed,Natural,20,51.8,38,335,0.52,185,1930,770,1160,185,2449,34.1,0,SP,NA,0.9,0,,
Natural,Natural,20,69.8,38,350,0.51,180,1870,710,1160,110,2404,20.8,26.4,NA,NA,0,0,,
Natural,Natural,20,69.8,38,350,0.51,180,1870,710,1160,110,2406,20.8,0,NA,NA,0,0,,
Natural,Natural,20,55.8,38,350,0.51,180,1870,710,1160,150,2403,12,0,NA,NA,0,0,,
Natural,Natural,20,29,38,350,0.51,180,1870,710,1160,170,2405,21.1,29.8,NA,NA,0,0,,
Natural,Natural,20,29,38,350,0.51,180,1870,710,1160,170,2404,21.1,0,NA,NA,0,0,,
Natural,Natural,40,26.2,38,350,0.51,180,1870,710,1160,120,2405,26.3,0,NA,NA,0,0,,
Natural,Natural,20,56,38,360,0.49,175,1845,685,1160,95,2391,26.3,32.5,NA,NA,0,0,,
